completed_to_open_pnl_withdrawn,completed_to_open_transitions,family,open_to_completed_pnl_added,open_to_completed_transitions,paired_additional_borrow_at_10pct,paired_completed,paired_exit_cost_difference,paired_net_change,paired_price_movement,panel,split,step,tickets_in_ledger,total_book_net_change
-145.91399999999956,1,R4,0,0,-1229.5866392350704,415,24.250608836000012,31127.705944836005,31103.455336000003,LEGACY_FILL_QTY,ALL,H1->H2,416,30981.791944836008
0,0,R4,0,0,-429.0752031780802,415,9.331681300000005,14539.290881300001,14529.959200000001,LEGACY_FILL_QTY,ALL,H2->H3,416,14539.290881299996
0,0,R4,0,0,-434.77238010958905,415,-10.486966599999995,11.285017399997523,21.771983999997083,LEGACY_FILL_QTY,ALL,H3->H4,416,11.285017399997741
0,0,R4,0,0,-464.3525014838353,415,5.859916899999989,7602.942032900003,7597.082116000002,LEGACY_FILL_QTY,ALL,H4->H5,416,7602.942032900006
0,0,R4,0,0,-665.9507967397271,415,6.801490470000003,10314.35026047,10307.54877,LEGACY_FILL_QTY,ALL,H5->H6,416,10314.350260470004
0,0,R4,0,0,-1054.4945187917797,415,5.690142529999999,9960.63687253,9954.94673,LEGACY_FILL_QTY,ALL,H6->H7,416,9960.636872529998
0,0,R4,0,0,-417.4556665205506,415,20.841704600000007,22781.803004600002,22760.961300000003,LEGACY_FILL_QTY,ALL,H7->H8,416,22781.803004600006
0,0,R4,0,0,-420.99650178082084,415,1.4274785999999946,6564.191078599995,6562.763599999997,LEGACY_FILL_QTY,ALL,H8->H9,416,6564.1910785999935
0,0,R4,0,0,-485.35820265753335,415,-5.387201799999988,-5701.023051800003,-5695.6358500000015,LEGACY_FILL_QTY,ALL,H9->H10,416,-5701.023051800003
0,0,R4,0,0,-607.4513421057536,200,8.120452962,14458.615164962002,14450.494712000003,CAUSAL_PREORDER_QTY,IS,H1->H2,200,14458.615164962002
0,0,R4,0,0,-204.2687739315058,200,0.6980399000000077,2762.5908899000024,2761.892850000003,CAUSAL_PREORDER_QTY,IS,H2->H3,200,2762.5908899000024
0,0,R4,0,0,-203.51209095890428,200,-1.5869821999999993,-123.79633220000422,-122.20935000000452,CAUSAL_PREORDER_QTY,IS,H3->H4,200,-123.79633220000323
0,0,R4,0,0,-211.7807400958906,200,5.172979500000002,4921.799629500006,4916.626650000004,CAUSAL_PREORDER_QTY,IS,H4->H5,200,4921.799629500001
0,0,R4,0,0,-314.8615095068499,200,2.3639384699999986,5101.854608469997,5099.490669999998,CAUSAL_PREORDER_QTY,IS,H5->H6,200,5101.854608469999
0,0,R4,0,0,-516.4355060520542,200,-3.2789898700000015,-2328.461559869999,-2325.182570000001,CAUSAL_PREORDER_QTY,IS,H6->H7,200,-2328.4615598699966
0,0,R4,0,0,-201.43846756164436,200,8.576242200000008,10624.720142200005,10616.143900000005,CAUSAL_PREORDER_QTY,IS,H7->H8,200,10624.7201422
