account_view,hold,legacy_id,model,month,month_end_equity,monthly_pnl,monthly_return_pct,prior_month_end_equity
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-02,78090.75150570026,17374.61874500005,28.616148550630577,60716.13276070021
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-03,78101.79540334837,11.043897648109123,0.014142388740237658,78090.75150570026
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-04,104186.4001926484,26084.604789300036,33.39821402899752,78101.79540334837
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-05,115702.80808794832,11516.407895299912,11.05365755415795,104186.4001926484
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-06,150897.56843254826,35194.76034459994,30.41824215523586,115702.80808794832
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-07,165476.6536345483,14579.085202000046,9.661577289442505,150897.56843254826
EQUITY_SCALED,10,C1,Rank-One 1.50x Reallocation,2025-08,160411.16478934826,-5065.488845200045,-3.061150158612145,165476.6536345483
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2024-09,87380.59215689989,-12619.40784310011,-12.619407843100111,100000.0
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2024-10,113015.94147189992,25635.34931500003,29.33757792459154,87380.59215689989
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2024-11,117179.53827279992,4163.596800900006,3.684079207476439,113015.94147189992
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2024-12,49865.71962549986,-67313.81864730007,-57.445028065045,117179.53827279992
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-01,92998.2171081999,43132.49748270003,86.4972927426547,49865.71962549986
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-02,119692.38687819995,26694.16977000005,28.703958634972963,92998.2171081999
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-03,123603.57167718397,3911.184798984017,3.2676972203454127,119692.38687819995
FIXED_DOLLAR,10,C1,Rank-One 1.50x Reallocation,2025-04,154073.5671971339,30469.995519949938,24.651387582495246,123603.57167718397
