book,side,mode,date,pnl,equity,cash,gross,target,unused_headroom,cohorts,tickets,stale_gross,overdue_tickets
L5_REC_NORM8,long,OOS,2025-11-05,647.7612000000081,87837.93583439999,1114.174634399983,86723.76120000001,87837.93583439999,1114.174634399984,2,16,0.0,0
L5_REC_NORM8,long,OOS,2025-11-06,-3446.7187700000068,84391.21706439999,43153.442064399984,41237.775,84391.21706439999,43153.442064399984,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-11-07,1875.104999999996,86266.32206439998,43153.442064399984,43112.880000000005,86266.32206439998,43153.44206439998,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-11-10,552.5650000000023,86818.88706439998,43153.442064399984,43665.445,86818.88706439998,43153.442064399984,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-11-11,1871.554999999993,88690.44206439998,43153.442064399984,45537.0,88690.44206439998,43153.44206439998,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-11-12,128.94000000000233,88819.38206439998,43153.442064399984,45665.94,88819.38206439998,43153.44206439998,1,8,0.0,0
L5_REC_NORM8,long,OOS,2025-11-13,-3271.4141900000104,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-14,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-17,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-18,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-19,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-20,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-21,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-24,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-25,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-26,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-11-28,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-12-01,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-12-02,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-12-03,0.0,85547.96787439997,85547.96787439997,0,85547.96787439997,85547.96787439997,0,0,0.0,0
L5_REC_NORM8,long,OOS,2025-12-04,36.231669999979204,85584.19954439995,42808.879544399955,42775.32,85584.19954439995,42808.87954439995,1,8,0.0,0
