aug31_equity,aug31_open_tickets,avg_loss,avg_win,completed,documented_event_open,exposure_dollar_days,family,filled,flats,gross_pnl,hit_rate,horizon,intended,losses,max_dd_dollars,max_dd_percent,mean_gross,median_month,modeled_net,net_borrow_10,net_borrow_30,net_double_spread,net_per_session,net_through_cutoff,no_entry,panel,payoff_ratio,peak_gross,per_session_basis,per_session_denominator,profit_factor,red_calendar_months,red_month_loss_sum,september_runoff_net,september_runoff_trades,split,structural_block,tier_full,tier_half,tier_quarter,time_underwater_sessions,turnover_entry_notional,unresolved,wins,worst_day,worst_month
129070.15433890001,0,-397.7987513680851,627.0116695047169,200,0,3022381.363312,R4,200,0,31008.345549999995,0.53,4,200,94,-4545.562292599949,-0.04324071925356887,12041.360013195219,1597.172100900003,29070.154338899996,27797.912954670956,25253.43018621287,27497.613127799992,115.81734796374501,29070.154338899996,0,CAUSAL_PREORDER_QTY,1.5762032116700637,39586.165,251 account sessions of the IS-owned book,251,1.7774206429470931,2,-1720.6504945999623,0,0,IS,0,27665.303281599998,1404.8510572999983,0,172,773949.6869000001,0,106,-4512.545000000013,-1076.8070799999841
133991.95396840016,0,-428.04327763010747,689.7194279252336,200,0,3765322.7046620003,R4,200,0,35924.9722,0.535,5,200,93,-5862.042917899991,-0.04697785700511781,15001.285675944224,1828.2800350000107,33991.9539684,32507.93184407507,29539.887595425207,32424.5857368,135.42611142788843,33991.9539684,0,CAUSAL_PREORDER_QTY,1.611331059195498,66157.2346,251 account sessions of the IS-owned book,251,1.8538970250958953,2,-2359.496944999977,0,0,IS,0,33981.269947500004,10.684020899998732,0,197,773949.6869000001,0,107,-4512.545000000013,-1435.6176399999968
139093.80857686987,0,-458.57201126666666,730.5935417351818,200,0,4503347.419362,R4,200,0,41024.462869999996,0.55,6,200,90,-6437.008269899976,-0.06144406069392283,17941.623184709166,1969.9867404999895,39093.80857687,37294.92494303822,33697.157675374656,37528.80428374,155.75222540585656,39093.80857687,0,CAUSAL_PREORDER_QTY,1.5931926148679199,68777.2479,251 account sessions of the IS-owned book,251,1.947235418171902,3,-3038.174430000028,0,0,IS,0,34429.39470577,4664.413871099996,0,172,773949.6869000001,0,110,-4512.545000000013,-1126.2496100000135
136765.34701699993,0,-529.64057084023,733.1334219477876,200,0,5236272.643392,R4,200,0,38699.2803,0.565,7,200,87,-8932.367128999991,-0.06212842715826239,20861.643997577692,1891.2874505000073,36765.347017,34450.02787711616,29819.389597348494,35197.063733999996,146.475486123506,36765.347017,0,CAUSAL_PREORDER_QTY,1.3842093342372421,69430.26500000001,251 account sessions of the IS-owned book,251,1.797881089296648,4,-3580.605726200083,0,0,IS,0,31281.404590799997,5483.942426200001,0,210,773949.6869000001,0,113,-8932.367128999991,-1900.0860700000194
147390.0671592001,0,-509.9480728929411,789.0056813486957,200,0,5971523.049992001,R4,200,0,49315.4242,0.575,8,200,85,-9708.458259900028,-0.09085297720640106,23790.928486023906,2559.318542199988,47390.0671592,44873.30955175452,39839.79433686357,45830.36011840001,188.80504844302789,47390.0671592,0,CAUSAL_PREORDER_QTY,1.5472274988170023,73749.114,251 account sessions of the IS-owned book,251,2.0933077925171206,3,-4629.003121299989,0,0,IS,0,39110.76743870001,8279.2997205,0,191,773949.6869000001,0,115,-8891.108999999997,-3036.8599300000205
145662.25071110006,0,-553.6169236527473,881.1136767293578,200,0,6696157.3126920005,R4,200,0,47591.8094,0.545,9,200,91,-11914.047269899937,-0.11352429517086715,26677.917580446217,2447.433517500016,45662.2507111,42946.96316866822,37516.38808380466,44098.3420222,181.9213175741036,45662.2507111,0,CAUSAL_PREORDER_QTY,1.5915584207863391,73749.114,251 account sessions of the IS-owned book,251,1.9063721743484723,2,-5948.141430000018,0,0,IS,0,37772.438625,7889.812086099998,0,194,773949.6869000001,0,109,-8891.108999999997,-4360.01608999999
147006.4890214,0,-559.7546676864584,968.6820876855769,200,0,7422515.190192,R4,200,0,48935.59449999999,0.52,10,200,96,-12464.623496100001,-0.11736095763407484,29571.773666103585,3455.082644549999,47006.4890214,44083.90829335178,38238.74683725534,45443.033542799996,187.27684869083663,47006.4890214,0,CAUSAL_PREORDER_QTY,1.7305475838000077,95841.3246,251 account sessions of the IS-owned book,251,1.8747598824500085,3,-7107.979239400011,0,0,IS,0,41396.9400604,5609.548960999998,0,196,773949.6869000001,0,104,-8891.108999999997,-4801.122956200008
110710.85665007989,0,-193.79265072937503,281.8745300009615,200,0,770855.3708,R5,200,0,12647.251129999995,0.52,1,200,96,-2775.4249195000157,-0.02740936332285837,3071.1369354581675,91.47157500000321,10710.856650079995,10456.02475534027,9946.360965860817,9142.412170159994,42.67273565768922,10710.856650079995,0,LEGACY_FILL_QTY,1.4545160971795048,51730.5985,251 account sessions of the IS-owned book,251,1.5757257719444637,1,-514.287295000031,0,0,IS,0,2379.9791096799977,6213.112225399998,2117.7653149999996,122,770855.3708,0,104,-1807.8806150000019,-514.287295000031
127800.79869819988,0,-267.44609549325844,464.89640718108114,200,0,1529063.49047,R5,200,0,29726.89405,0.555,2,200,89,-5113.696554999959,-0.03858640184453621,6091.886416215139,1356.183280000012,27800.7986982,26934.230444827397,25201.09393808219,26242.653346400002,110.76015417609563,27800.7986982,0,LEGACY_FILL_QTY,1.7382807788749335,52053.840000000004,251 account sessions of the IS-owned book,251,2.167968162417052,1,-1171.0750300000072,0,0,IS,0,10467.021822900002,14924.697256,2409.0796192999996,112,770855.3708,0,111,-5084.086909999969,-1171.0750300000072
133632.83959779996,0,-308.4822233901099,566.0983662963303,200,0,2270191.96722,R5,200,0,35555.4244,0.545,3,200,91,-5025.74000000002,-0.04371818009128259,9044.589510836653,998.5107565000071,33632.839597800004,32563.222446687672,30423.988144463015,32078.204795600002,133.99537688366536,33632.839597800004,0,LEGACY_FILL_QTY,1.8351085520426773,52053.840000000004,251 account sessions of the IS-owned book,251,2.198097056842328,1,-866.352011400013,0,0,IS,0,18359.124688400003,14106.427788600002,1167.2871207999979,193,770855.3708,0,109,-5025.74000000002,-866.352011400013
