book,date,pnl,equity,gross,gross_to_equity,tickets,symbols,largest_symbol_gross,largest_symbol_equity_fraction,stale_gross,new_gross,preorder_gross,pacing_scale,above_130k,excess_130k,excursion_cause,borrow_base,extra_spread
C1_R4_PREORDER,2026-08-07,-855.475000000001,149708.05186410007,104832.01500000001,0.7002429975854805,26,20,10265.640000000001,0.06857106129013557,47281.950000000004,0.0,104810.84999999999,1.0,False,0,none,861.6330000000002,0.0
C1_R4_PREORDER,2026-08-10,85.62308000000104,149793.67494410006,99178.35,0.6620997184094144,25,19,10243.86,0.06838646560893041,41687.55,0.0,99178.19000000002,1.0,False,0,none,271.72150684931506,5.561920000000001
C1_R4_PREORDER,2026-08-11,-257.5550000000005,149536.11994410006,99435.90500000001,0.6649624521297689,25,19,10243.86,0.06850425170740945,41687.55,0.0,99454.53,1.0,False,0,none,272.42713698630143,0.0
C1_R4_PREORDER,2026-08-12,378.75500000000096,149914.87494410007,99057.15000000001,0.660755979264474,25,19,10265.640000000001,0.06847646041680541,41687.55,0.0,99086.67,1.0,False,0,none,271.38945205479456,0.0
C1_R4_PREORDER,2026-08-13,-407.64191999999974,149507.23302410007,104253.19,0.6973120155544229,26,21,9064.260000000002,0.060627568423655284,41687.55,28093.04,99476.35000000002,1.0,False,0,none,285.6251780821918,51.33691999999999
C1_R4_PREORDER,2026-08-14,527.2499999999998,150034.48302410007,103725.94,0.6913473350212329,26,21,9064.260000000002,0.06041451149962644,41687.55,0.0,103746.29499999998,1.0,False,0,none,852.5419726027397,0.0
C1_R4_PREORDER,2026-08-17,407.16999999999916,150441.6530241001,103318.77,0.6867697072129937,26,21,9064.260000000002,0.060250999758344505,41687.55,0.0,103312.412,1.0,False,0,none,283.06512328767127,0.0
C1_R4_PREORDER,2026-08-18,975.7350000000018,151417.3880241001,102343.035,0.6759001481633717,26,21,9064.260000000002,0.05986274177809291,41687.55,0.0,102290.715,1.0,False,0,none,280.3918767123288,0.0
C1_R4_PREORDER,2026-08-19,170.61699999999973,151588.0050241001,102172.418,0.6740138705813576,26,21,9064.260000000002,0.05979536440603547,41687.55,0.0,102210.81000000003,1.0,False,0,none,279.92443287671233,0.0
C1_R4_PREORDER,2026-08-20,282.44273499999906,151870.4477591001,97818.39000000001,0.6440910094316801,26,21,9550.8,0.06288781090018031,41687.55,30746.655000000006,101788.96,1.0,False,0,none,267.9955890410959,65.48526500000001
