best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
3228.96,2024-11-06,7,4884.76,10,C2,2,Off-High Substitution,8,2024-11,5,-1458.71
1338.48,2024-11-13,8,-3432.11,10,C2,4,Off-High Substitution,8,2024-11,4,-2382.21
3150.0,2024-11-20,8,-1589.1,10,C2,4,Off-High Substitution,8,2024-11,4,-2739.99
1500.29,2024-11-27,8,4750.2,10,C2,2,Off-High Substitution,8,2024-11,6,-697.87
3325.75,2024-12-04,8,-23090.97,10,C2,6,Off-High Substitution,8,2024-12,2,-15130.07
881.45,2024-12-11,8,-43617.36,10,C2,5,Off-High Substitution,8,2024-12,3,-26700.57
922.0,2024-12-18,8,-15749.05,10,C2,7,Off-High Substitution,8,2024-12,1,-5819.58
4898.03,2024-12-24,8,17233.7,10,C2,0,Off-High Substitution,8,2024-12,8,963.55
4802.3,2024-12-31,8,14309.91,10,C2,1,Off-High Substitution,8,2024-12,7,-375.02
3430.61,2025-01-08,8,11145.52,10,C2,1,Off-High Substitution,8,2025-01,7,-103.62
3738.8,2025-01-15,8,7986.92,10,C2,2,Off-High Substitution,8,2025-01,6,-176.97
1737.98,2025-01-22,8,3461.68,10,C2,3,Off-High Substitution,8,2025-01,5,-436.8
1686.82,2025-01-29,8,2974.03,10,C2,2,Off-High Substitution,8,2025-01,6,-1214.26
1598.24,2025-02-05,8,3264.41,10,C2,3,Off-High Substitution,8,2025-02,5,-605.24
2281.22,2025-02-12,8,7765.56,10,C2,1,Off-High Substitution,8,2025-02,7,-5.1
3115.63,2025-02-19,8,12211.22,10,C2,0,Off-High Substitution,8,2025-02,8,436.6
2576.9,2025-02-26,8,9427.62,10,C2,0,Off-High Substitution,8,2025-02,8,100.12
3079.17,2025-03-05,8,3958.55,10,C2,2,Off-High Substitution,8,2025-03,6,-662.89
673.59,2025-03-12,8,-21083.1,10,C2,3,Off-High Substitution,8,2025-03,5,-22234.63
1409.15,2025-03-19,8,3528.77,10,C2,0,Off-High Substitution,8,2025-03,8,53.79
