best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
2286.39,2025-05-14,7,847.09,8,C1,5,Rank-One 1.50x Reallocation,8,2025-05,2,-1873.72
3931.78,2025-05-21,7,5413.95,8,C1,2,Rank-One 1.50x Reallocation,8,2025-05,5,-1247.4
3728.66,2025-05-28,8,-189.31,8,C1,5,Rank-One 1.50x Reallocation,8,2025-05,3,-5065.29
13985.25,2025-06-04,8,17529.02,8,C1,2,Rank-One 1.50x Reallocation,8,2025-06,6,-2537.52
14591.2,2025-06-11,8,12117.59,8,C1,1,Rank-One 1.50x Reallocation,8,2025-06,7,-13174.05
4129.23,2025-06-18,8,1001.62,8,C1,3,Rank-One 1.50x Reallocation,8,2025-06,5,-10724.01
4898.57,2025-06-25,7,3688.91,8,C1,3,Rank-One 1.50x Reallocation,8,2025-06,4,-3719.81
4385.35,2025-07-02,7,-991.43,8,C1,4,Rank-One 1.50x Reallocation,8,2025-07,3,-6396.65
2596.86,2025-07-09,8,6818.6,8,C1,2,Rank-One 1.50x Reallocation,8,2025-07,6,-1512.21
4311.45,2025-07-16,8,15775.79,8,C1,0,Rank-One 1.50x Reallocation,8,2025-07,8,32.12
2089.53,2025-07-23,8,1559.77,8,C1,3,Rank-One 1.50x Reallocation,8,2025-07,5,-3403.54
1802.06,2025-07-30,7,-18929.88,8,C1,5,Rank-One 1.50x Reallocation,8,2025-07,2,-17580.69
1920.66,2025-08-06,8,-5441.46,8,C1,6,Rank-One 1.50x Reallocation,8,2025-08,2,-4329.44
1818.69,2025-08-13,7,-9239.98,8,C1,5,Rank-One 1.50x Reallocation,8,2025-08,2,-4172.0
7258.11,2025-08-20,8,11297.42,8,C1,3,Rank-One 1.50x Reallocation,8,2025-08,5,-1172.48
3934.07,2025-08-27,8,9890.7,8,C1,3,Rank-One 1.50x Reallocation,8,2025-08,5,-1057.8
1528.12,2024-09-04,8,4912.86,9,C1,3,Rank-One 1.50x Reallocation,8,2024-09,5,-172.64
